Year,Value,Units,Series,GeoCode
1996,119.6,Hectre per day,Moving four-year average,
1997,120.7,Hectre per day,Moving four-year average,
1998,123.5,Hectre per day,Moving four-year average,
1999,126.276,Hectre per day,Moving four-year average,
2000,129.0,Hectre per day,Moving four-year average,
2001,128.0,Hectre per day,Moving four-year average,
2002,123.0,Hectre per day,Moving four-year average,
2003,115.0,Hectre per day,Moving four-year average,
2004,115.0,Hectre per day,Moving four-year average,
2005,114.0,Hectre per day,Moving four-year average,
2006,113.0,Hectre per day,Moving four-year average,
2007,113.0,Hectre per day,Moving four-year average,
2008,104.0,Hectre per day,Moving four-year average,
2009,94.0,Hectre per day,Moving four-year average,
2010,87.0,Hectre per day,Moving four-year average,
2011,81.0,Hectre per day,Moving four-year average,
2012,74.0,Hectre per day,Moving four-year average,
2013,73.0,Hectre per day,Moving four-year average,
2014,69.0,Hectre per day,Moving four-year average,
2015,66.0,Hectre per day,Moving four-year average,
2016,62.0,Hectre per day,Moving four-year average,
2017,58.0,Hectre per day,Moving four-year average,
2018,56.0,Hectre per day,Moving four-year average,
2019,52.0,Hectre per day,Moving four-year average,
2020,54.0,Hectre per day,Moving four-year average,
2021,55.0,Hectre per day,Moving four-year average,
2030,,Hectre per day,Moving four-year average,
1996,119.576,Hectre per day,Calculated annual values,
1997,124.252,Hectre per day,Calculated annual values,
1998,130.622,Hectre per day,Calculated annual values,
1999,130.655,Hectre per day,Calculated annual values,
2000,131.0,Hectre per day,Calculated annual values,
2001,121.0,Hectre per day,Calculated annual values,
2002,109.0,Hectre per day,Calculated annual values,
2003,99.0,Hectre per day,Calculated annual values,
2004,131.0,Hectre per day,Calculated annual values,
2005,118.0,Hectre per day,Calculated annual values,
2006,106.0,Hectre per day,Calculated annual values,
2007,97.0,Hectre per day,Calculated annual values,
2008,95.0,Hectre per day,Calculated annual values,
2009,78.0,Hectre per day,Calculated annual values,
2010,77.0,Hectre per day,Calculated annual values,
2011,74.0,Hectre per day,Calculated annual values,
2012,69.0,Hectre per day,Calculated annual values,
2013,71.0,Hectre per day,Calculated annual values,
2014,63.0,Hectre per day,Calculated annual values,
2015,61.0,Hectre per day,Calculated annual values,
2016,51.0,Hectre per day,Calculated annual values,
2017,55.0,Hectre per day,Calculated annual values,
2018,58.0,Hectre per day,Calculated annual values,
2019,45.0,Hectre per day,Calculated annual values,
2020,58.0,Hectre per day,Calculated annual values,
2021,58.0,Hectre per day,Calculated annual values,
2030,,Hectre per day,Calculated annual values,
