Year,Units,Federal state,GeoCode,Value
1990,1990 = 100,,,100.0
1991,1990 = 100,,,96.321
1992,1990 = 100,,,92.356
1993,1990 = 100,,,91.622
1994,1990 = 100,,,90.173
1995,1990 = 100,,,89.601
1996,1990 = 100,,,90.981
1997,1990 = 100,,,88.122
1998,1990 = 100,,,86.166
1999,1990 = 100,,,83.428
2000,1990 = 100,,,83.191
2001,1990 = 100,,,84.363
2002,1990 = 100,,,82.625
2003,1990 = 100,,,81.935
2004,1990 = 100,,,80.056
2005,1990 = 100,,,78.96
2006,1990 = 100,,,80.038
2007,1990 = 100,,,76.819
2008,1990 = 100,,,77.447
2009,1990 = 100,,,71.946
2010,1990 = 100,,,74.194
2011,1990 = 100,,,72.307
2012,1990 = 100,,,73.121
2013,1990 = 100,,,74.479
2014,1990 = 100,,,71.233
2015,1990 = 100,,,71.913
2016,1990 = 100,,,71.539
2017,1990 = 100,,,70.35
2018,1990 = 100,,,68.1
2019,1990 = 100,,,63.707
2020,1990 = 100,,,58.51
2021,1990 = 100,,,60.736
2022,1990 = 100,,,59.966
2023,1990 = 100,,,53.888
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
1990,1990 = 100,Baden-Wuerttemberg,code08,100.0
1995,1990 = 100,Baden-Wuerttemberg,code08,103.766
2000,1990 = 100,Baden-Wuerttemberg,code08,96.844
2003,1990 = 100,Baden-Wuerttemberg,code08,96.827
2004,1990 = 100,Baden-Wuerttemberg,code08,95.298
2005,1990 = 100,Baden-Wuerttemberg,code08,98.039
2006,1990 = 100,Baden-Wuerttemberg,code08,98.861
2007,1990 = 100,Baden-Wuerttemberg,code08,90.792
2008,1990 = 100,Baden-Wuerttemberg,code08,92.619
2009,1990 = 100,Baden-Wuerttemberg,code08,85.513
2010,1990 = 100,Baden-Wuerttemberg,code08,87.115
2011,1990 = 100,Baden-Wuerttemberg,code08,85.191
2012,1990 = 100,Baden-Wuerttemberg,code08,83.782
2013,1990 = 100,Baden-Wuerttemberg,code08,89.891
2014,1990 = 100,Baden-Wuerttemberg,code08,84.194
2015,1990 = 100,Baden-Wuerttemberg,code08,85.772
2016,1990 = 100,Baden-Wuerttemberg,code08,87.826
2017,1990 = 100,Baden-Wuerttemberg,code08,88.349
2018,1990 = 100,Baden-Wuerttemberg,code08,84.728
2019,1990 = 100,Baden-Wuerttemberg,code08,81.67
2020,1990 = 100,Baden-Wuerttemberg,code08,75.641
1990,1990 = 100,Bavaria,code09,100.0
1995,1990 = 100,Bavaria,code09,101.717
2000,1990 = 100,Bavaria,code09,99.062
2003,1990 = 100,Bavaria,code09,92.856
2004,1990 = 100,Bavaria,code09,91.32
2005,1990 = 100,Bavaria,code09,88.668
2006,1990 = 100,Bavaria,code09,89.577
2007,1990 = 100,Bavaria,code09,83.395
2008,1990 = 100,Bavaria,code09,87.615
2009,1990 = 100,Bavaria,code09,84.521
2010,1990 = 100,Bavaria,code09,87.411
2011,1990 = 100,Bavaria,code09,86.137
2012,1990 = 100,Bavaria,code09,86.154
2013,1990 = 100,Bavaria,code09,86.683
2014,1990 = 100,Bavaria,code09,83.026
2015,1990 = 100,Bavaria,code09,83.682
2016,1990 = 100,Bavaria,code09,85.149
2017,1990 = 100,Bavaria,code09,84.84
2018,1990 = 100,Bavaria,code09,83.636
2019,1990 = 100,Bavaria,code09,84.626
2020,1990 = 100,Bavaria,code09,80.994
1990,1990 = 100,Hesse,code06,100.0
1995,1990 = 100,Hesse,code06,107.522
2000,1990 = 100,Hesse,code06,99.733
2003,1990 = 100,Hesse,code06,96.921
2004,1990 = 100,Hesse,code06,94.775
2005,1990 = 100,Hesse,code06,92.598
2006,1990 = 100,Hesse,code06,90.449
2007,1990 = 100,Hesse,code06,85.116
2008,1990 = 100,Hesse,code06,85.809
2009,1990 = 100,Hesse,code06,82.682
2010,1990 = 100,Hesse,code06,83.968
2011,1990 = 100,Hesse,code06,80.282
2012,1990 = 100,Hesse,code06,80.201
2013,1990 = 100,Hesse,code06,79.581
2014,1990 = 100,Hesse,code06,74.659
2015,1990 = 100,Hesse,code06,78.008
2016,1990 = 100,Hesse,code06,80.283
2017,1990 = 100,Hesse,code06,78.414
2018,1990 = 100,Hesse,code06,74.585
2019,1990 = 100,Hesse,code06,74.771
2020,1990 = 100,Hesse,code06,68.97
1990,1990 = 100,Rhineland Palatinate,code07,100.0
1995,1990 = 100,Rhineland Palatinate,code07,110.305
2000,1990 = 100,Rhineland Palatinate,code07,76.658
2003,1990 = 100,Rhineland Palatinate,code07,71.441
2004,1990 = 100,Rhineland Palatinate,code07,71.573
2005,1990 = 100,Rhineland Palatinate,code07,70.143
2006,1990 = 100,Rhineland Palatinate,code07,71.015
2007,1990 = 100,Rhineland Palatinate,code07,71.129
2008,1990 = 100,Rhineland Palatinate,code07,73.503
2009,1990 = 100,Rhineland Palatinate,code07,71.615
2010,1990 = 100,Rhineland Palatinate,code07,68.607
2011,1990 = 100,Rhineland Palatinate,code07,63.872
2012,1990 = 100,Rhineland Palatinate,code07,64.063
2013,1990 = 100,Rhineland Palatinate,code07,66.571
2014,1990 = 100,Rhineland Palatinate,code07,62.478
2015,1990 = 100,Rhineland Palatinate,code07,63.315
2016,1990 = 100,Rhineland Palatinate,code07,63.922
2017,1990 = 100,Rhineland Palatinate,code07,64.521
2018,1990 = 100,Rhineland Palatinate,code07,62.714
2019,1990 = 100,Rhineland Palatinate,code07,64.033
2020,1990 = 100,Rhineland Palatinate,code07,62.409
1990,1990 = 100,Saxony-Anhalt,code15,100.0
1995,1990 = 100,Saxony-Anhalt,code15,56.644
2000,1990 = 100,Saxony-Anhalt,code15,58.247
2003,1990 = 100,Saxony-Anhalt,code15,63.111
2004,1990 = 100,Saxony-Anhalt,code15,62.024
2005,1990 = 100,Saxony-Anhalt,code15,62.068
2006,1990 = 100,Saxony-Anhalt,code15,61.856
2007,1990 = 100,Saxony-Anhalt,code15,60.367
2008,1990 = 100,Saxony-Anhalt,code15,61.999
2009,1990 = 100,Saxony-Anhalt,code15,64.403
2010,1990 = 100,Saxony-Anhalt,code15,63.111
2011,1990 = 100,Saxony-Anhalt,code15,62.497
2012,1990 = 100,Saxony-Anhalt,code15,63.211
2013,1990 = 100,Saxony-Anhalt,code15,62.205
2014,1990 = 100,Saxony-Anhalt,code15,59.0
2015,1990 = 100,Saxony-Anhalt,code15,57.598
2016,1990 = 100,Saxony-Anhalt,code15,56.035
2017,1990 = 100,Saxony-Anhalt,code15,56.312
2018,1990 = 100,Saxony-Anhalt,code15,58.449
2019,1990 = 100,Saxony-Anhalt,code15,52.841
1990,1990 = 100,Schleswig-Holstein,code01,100.0
1995,1990 = 100,Schleswig-Holstein,code01,96.794
2000,1990 = 100,Schleswig-Holstein,code01,91.071
2003,1990 = 100,Schleswig-Holstein,code01,90.084
2004,1990 = 100,Schleswig-Holstein,code01,85.845
2005,1990 = 100,Schleswig-Holstein,code01,83.356
2006,1990 = 100,Schleswig-Holstein,code01,83.284
2007,1990 = 100,Schleswig-Holstein,code01,76.454
2008,1990 = 100,Schleswig-Holstein,code01,81.655
2009,1990 = 100,Schleswig-Holstein,code01,79.138
2010,1990 = 100,Schleswig-Holstein,code01,81.057
2011,1990 = 100,Schleswig-Holstein,code01,76.42
2012,1990 = 100,Schleswig-Holstein,code01,81.02
2013,1990 = 100,Schleswig-Holstein,code01,81.454
2014,1990 = 100,Schleswig-Holstein,code01,78.038
2015,1990 = 100,Schleswig-Holstein,code01,76.968
2016,1990 = 100,Schleswig-Holstein,code01,76.614
2017,1990 = 100,Schleswig-Holstein,code01,76.701
2018,1990 = 100,Schleswig-Holstein,code01,75.284
2019,1990 = 100,Schleswig-Holstein,code01,71.045
2020,1990 = 100,Schleswig-Holstein,code01,69.673
