Year,Units,Series,federal state,GeoCode,Value
2008,2008 = 100,a) final energy productivity,,,100.0
2009,2008 = 100,a) final energy productivity,,,100.639
2010,2008 = 100,a) final energy productivity,,,98.304
2011,2008 = 100,a) final energy productivity,,,106.161
2012,2008 = 100,a) final energy productivity,,,105.707
2013,2008 = 100,a) final energy productivity,,,103.9
2014,2008 = 100,a) final energy productivity,,,112.129
2015,2008 = 100,a) final energy productivity,,,110.64
2016,2008 = 100,a) final energy productivity,,,112.256
2017,2008 = 100,a) final energy productivity,,,114.263
2018,2008 = 100,a) final energy productivity,,,116.973
2019,2008 = 100,a) final energy productivity,,,118.235
2020,2008 = 100,a) final energy productivity,,,121.138
2021,2008 = 100,a) final energy productivity,,,121.041
2022,2008 = 100,a) final energy productivity,,,126.62
2023,2008 = 100,a) final energy productivity,,,131.763
2024,2008 = 100,a) final energy productivity,,,
2030,2008 = 100,a) final energy productivity,,,
2008,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,100.0
2009,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,95.51
2010,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,100.225
2011,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,109.76
2012,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,111.933
2013,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,107.343
2014,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,117.228
2015,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,116.577
2016,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,115.559
2017,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,119.752
2018,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,124.742
2019,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,120.581
2020,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,121.239
2021,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,125.744
2022,2008 = 100,a) final energy productivity,baden-wuerttemberg,code08,133.057
2008,2008 = 100,a) final energy productivity,bavaria,code09,100.0
2009,2008 = 100,a) final energy productivity,bavaria,code09,98.7
2010,2008 = 100,a) final energy productivity,bavaria,code09,96.325
2011,2008 = 100,a) final energy productivity,bavaria,code09,103.171
2012,2008 = 100,a) final energy productivity,bavaria,code09,104.626
2013,2008 = 100,a) final energy productivity,bavaria,code09,104.95
2014,2008 = 100,a) final energy productivity,bavaria,code09,112.899
2015,2008 = 100,a) final energy productivity,bavaria,code09,112.094
2016,2008 = 100,a) final energy productivity,bavaria,code09,111.262
2017,2008 = 100,a) final energy productivity,bavaria,code09,114.289
2018,2008 = 100,a) final energy productivity,bavaria,code09,113.376
2019,2008 = 100,a) final energy productivity,bavaria,code09,112.23
2020,2008 = 100,a) final energy productivity,bavaria,code09,115.79
2021,2008 = 100,a) final energy productivity,bavaria,code09,119.201
2008,2008 = 100,a) final energy productivity,berlin,code11,100.0
2009,2008 = 100,a) final energy productivity,berlin,code11,98.343
2010,2008 = 100,a) final energy productivity,berlin,code11,93.095
2011,2008 = 100,a) final energy productivity,berlin,code11,108.404
2012,2008 = 100,a) final energy productivity,berlin,code11,107.012
2013,2008 = 100,a) final energy productivity,berlin,code11,104.413
2014,2008 = 100,a) final energy productivity,berlin,code11,115.015
2015,2008 = 100,a) final energy productivity,berlin,code11,121.508
2016,2008 = 100,a) final energy productivity,berlin,code11,124.003
2017,2008 = 100,a) final energy productivity,berlin,code11,129.416
2018,2008 = 100,a) final energy productivity,berlin,code11,134.957
2019,2008 = 100,a) final energy productivity,berlin,code11,143.249
2020,2008 = 100,a) final energy productivity,berlin,code11,155.642
2021,2008 = 100,a) final energy productivity,berlin,code11,156.248
2022,2008 = 100,a) final energy productivity,berlin,code11,172.758
2008,2008 = 100,a) final energy productivity,brandenburg,code12,100.0
2009,2008 = 100,a) final energy productivity,brandenburg,code12,99.373
2010,2008 = 100,a) final energy productivity,brandenburg,code12,95.549
2011,2008 = 100,a) final energy productivity,brandenburg,code12,100.242
2012,2008 = 100,a) final energy productivity,brandenburg,code12,99.112
2013,2008 = 100,a) final energy productivity,brandenburg,code12,97.892
2014,2008 = 100,a) final energy productivity,brandenburg,code12,103.998
2015,2008 = 100,a) final energy productivity,brandenburg,code12,107.39
2016,2008 = 100,a) final energy productivity,brandenburg,code12,104.255
2017,2008 = 100,a) final energy productivity,brandenburg,code12,103.997
2018,2008 = 100,a) final energy productivity,brandenburg,code12,103.642
2019,2008 = 100,a) final energy productivity,brandenburg,code12,108.633
2020,2008 = 100,a) final energy productivity,brandenburg,code12,111.266
2021,2008 = 100,a) final energy productivity,brandenburg,code12,107.473
2022,2008 = 100,a) final energy productivity,brandenburg,code12,110.378
2008,2008 = 100,a) final energy productivity,bremen,code04,100.0
2009,2008 = 100,a) final energy productivity,bremen,code04,97.318
2011,2008 = 100,a) final energy productivity,bremen,code04,95.844
2012,2008 = 100,a) final energy productivity,bremen,code04,100.145
2013,2008 = 100,a) final energy productivity,bremen,code04,99.811
2014,2008 = 100,a) final energy productivity,bremen,code04,95.753
2015,2008 = 100,a) final energy productivity,bremen,code04,97.558
2016,2008 = 100,a) final energy productivity,bremen,code04,100.05
2017,2008 = 100,a) final energy productivity,bremen,code04,105.975
2018,2008 = 100,a) final energy productivity,bremen,code04,105.452
2019,2008 = 100,a) final energy productivity,bremen,code04,108.11
2020,2008 = 100,a) final energy productivity,bremen,code04,113.219
2008,2008 = 100,a) final energy productivity,hamburg,code02,100.0
2009,2008 = 100,a) final energy productivity,hamburg,code02,97.621
2010,2008 = 100,a) final energy productivity,hamburg,code02,94.005
2011,2008 = 100,a) final energy productivity,hamburg,code02,100.822
2012,2008 = 100,a) final energy productivity,hamburg,code02,99.28
2013,2008 = 100,a) final energy productivity,hamburg,code02,103.854
2014,2008 = 100,a) final energy productivity,hamburg,code02,109.726
2015,2008 = 100,a) final energy productivity,hamburg,code02,108.894
2016,2008 = 100,a) final energy productivity,hamburg,code02,110.634
2017,2008 = 100,a) final energy productivity,hamburg,code02,112.132
2018,2008 = 100,a) final energy productivity,hamburg,code02,110.398
2019,2008 = 100,a) final energy productivity,hamburg,code02,114.839
2020,2008 = 100,a) final energy productivity,hamburg,code02,118.663
2021,2008 = 100,a) final energy productivity,hamburg,code02,116.994
2022,2008 = 100,a) final energy productivity,hamburg,code02,133.265
2008,2008 = 100,a) final energy productivity,hesse,code06,100.0
2009,2008 = 100,a) final energy productivity,hesse,code06,97.797
2010,2008 = 100,a) final energy productivity,hesse,code06,98.676
2011,2008 = 100,a) final energy productivity,hesse,code06,106.695
2012,2008 = 100,a) final energy productivity,hesse,code06,104.233
2013,2008 = 100,a) final energy productivity,hesse,code06,102.414
2014,2008 = 100,a) final energy productivity,hesse,code06,106.007
2015,2008 = 100,a) final energy productivity,hesse,code06,104.154
2016,2008 = 100,a) final energy productivity,hesse,code06,105.019
2017,2008 = 100,a) final energy productivity,hesse,code06,107.738
2018,2008 = 100,a) final energy productivity,hesse,code06,109.799
2019,2008 = 100,a) final energy productivity,hesse,code06,109.287
2020,2008 = 100,a) final energy productivity,hesse,code06,124.26
2021,2008 = 100,a) final energy productivity,hesse,code06,123.301
2022,2008 = 100,a) final energy productivity,hesse,code06,121.517
2008,2008 = 100,a) final energy productivity,mecklenburg western pomerania,code13,100.0
2009,2008 = 100,a) final energy productivity,mecklenburg western pomerania,code13,99.919
2010,2008 = 100,a) final energy productivity,mecklenburg western pomerania,code13,94.594
2011,2008 = 100,a) final energy productivity,mecklenburg western pomerania,code13,104.514
2012,2008 = 100,a) final energy productivity,mecklenburg western pomerania,code13,100.737
2013,2008 = 100,a) final energy productivity,mecklenburg western pomerania,code13,98.51
2014,2008 = 100,a) final energy productivity,mecklenburg western pomerania,code13,104.496
2015,2008 = 100,a) final energy productivity,mecklenburg western pomerania,code13,104.751
2016,2008 = 100,a) final energy productivity,mecklenburg western pomerania,code13,105.395
2017,2008 = 100,a) final energy productivity,mecklenburg western pomerania,code13,112.337
2018,2008 = 100,a) final energy productivity,mecklenburg western pomerania,code13,109.883
2019,2008 = 100,a) final energy productivity,mecklenburg western pomerania,code13,115.181
2020,2008 = 100,a) final energy productivity,mecklenburg western pomerania,code13,112.503
2008,2008 = 100,a) final energy productivity,lower saxony,code03,100.0
2009,2008 = 100,a) final energy productivity,lower saxony,code03,98.99
2010,2008 = 100,a) final energy productivity,lower saxony,code03,97.799
2011,2008 = 100,a) final energy productivity,lower saxony,code03,107.993
2012,2008 = 100,a) final energy productivity,lower saxony,code03,111.391
2013,2008 = 100,a) final energy productivity,lower saxony,code03,108.658
2014,2008 = 100,a) final energy productivity,lower saxony,code03,114.364
2015,2008 = 100,a) final energy productivity,lower saxony,code03,114.253
2016,2008 = 100,a) final energy productivity,lower saxony,code03,119.83
2017,2008 = 100,a) final energy productivity,lower saxony,code03,118.639
