Year,Units,COMMENT_OBS_0,time series,sea,Value
2003,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,42.424
2004,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,30.303
2005,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,30.303
2006,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,30.303
2007,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,33.333
2008,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,36.364
2009,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,30.303
2010,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,36.364
2011,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,45.455
2012,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,45.455
2013,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,45.455
2014,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,51.515
2015,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,36.364
2016,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,30.303
2017,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,41.176
2018,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,44.118
2019,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,38.235
2020,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,41.176
2021,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,55.882
2022,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,58.824
2023,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,,61.765
2024,percentage,,commercial exploited fish stocks assessed for msy that is fished sustainably,,67.647
2030,percentage,…,commercial exploited fish stocks assessed for msy that is fished sustainably,,
2003,percentage,,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,50.0
2004,percentage,,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,34.615
2005,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,30.769
2006,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,34.615
2007,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,34.615
2008,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,42.308
2009,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,34.615
2010,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,42.308
2011,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,46.154
2012,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,42.308
2013,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,46.154
2014,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,46.154
2015,percentage,,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,42.308
2016,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,34.615
2017,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,44.444
2018,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,48.148
2019,percentage,,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,40.741
2020,percentage,,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,48.148
2021,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,59.259
2022,percentage,,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,59.259
2023,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,59.259
2024,percentage,,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,62.963
2030,percentage,…,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,
2003,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,14.286
2004,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,14.286
2005,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,28.571
2006,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,14.286
2007,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,28.571
2008,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,14.286
2009,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,14.286
2010,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,14.286
2011,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,42.857
2012,percentage,r,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,57.143
