Year,Units,Value
1991,1.000 EUR,30.41
1992,1.000 EUR,30.819
1993,1.000 EUR,30.351
1994,1.000 EUR,31.062
1995,1.000 EUR,31.467
1996,1.000 EUR,31.732
1997,1.000 EUR,32.303
1998,1.000 EUR,33.007
1999,1.000 EUR,33.72
2000,1.000 EUR,34.675
2001,1.000 EUR,35.216
2002,1.000 EUR,35.11
2003,1.000 EUR,34.936
2004,1.000 EUR,35.383
2005,1.000 EUR,35.748
2006,1.000 EUR,37.201
2007,1.000 EUR,38.362
2008,1.000 EUR,38.821
2009,1.000 EUR,36.796
2010,1.000 EUR,38.417
2011,1.000 EUR,39.865
2012,1.000 EUR,39.979
2013,1.000 EUR,40.024
2014,1.000 EUR,40.722
2015,1.000 EUR,41.038
2016,1.000 EUR,41.643
2017,1.000 EUR,42.614
2018,1.000 EUR,42.961
2019,1.000 EUR,43.287
2020,1.000 EUR,41.481
2021,1.000 EUR,42.985
2022,1.000 EUR,43.261
2023,1.000 EUR,42.78
2024,1.000 EUR,42.576
